id,name,type,primary_color,shape,legendary,mega_evolution,alolan_form,galarian_form,gigantamax,image_path
0,Bulbasaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0000-Bulbasaur-1/front/shiny/1-gen4_hs-frame2.png
0,Bulbasaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0000-Bulbasaur-1/front/shiny/1-gen3_e-frame2.png
0,Bulbasaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0000-Bulbasaur-1/front/shiny/1-gen3_fl.png
0,Bulbasaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0000-Bulbasaur-1/front/shiny/1-gen5.png
0,Bulbasaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0000-Bulbasaur-1/front/shiny/1-gen4_hs.png
0,Bulbasaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0000-Bulbasaur-1/front/shiny/1-gen4_dp.png
0,Bulbasaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0000-Bulbasaur-1/front/shiny/1-gen3_e.png
0,Bulbasaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0000-Bulbasaur-1/front/shiny/1-gen4_dp-frame2.png
0,Bulbasaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0000-Bulbasaur-1/front/normal/1-gen4_hs-frame2.png
0,Bulbasaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0000-Bulbasaur-1/front/normal/1-gen3_e-frame2.png
0,Bulbasaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0000-Bulbasaur-1/front/normal/1-gen3_fl.png
0,Bulbasaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0000-Bulbasaur-1/front/normal/1-gen5.png
0,Bulbasaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0000-Bulbasaur-1/front/normal/1-gen4_hs.png
0,Bulbasaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0000-Bulbasaur-1/front/normal/1-gen4_dp.png
0,Bulbasaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0000-Bulbasaur-1/front/normal/1-gen3_e.png
0,Bulbasaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0000-Bulbasaur-1/front/normal/1-gen4_dp-frame2.png
1,Ivysaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0001-Ivysaur-2/front/shiny/2-gen4_hs-frame2.png
1,Ivysaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0001-Ivysaur-2/front/shiny/2-gen3_fl.png
1,Ivysaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0001-Ivysaur-2/front/shiny/2-gen3_e.png
1,Ivysaur,Grass,Yellow & Green,Quadruped,FALSE,FALSE,FALSE,FALSE,FALSE,images/0001-Ivysaur-2/front/shiny/2-gen3_e-frame2.png
