id,name,type,primary_color,shape,legendary,mega_evolution,alolan_form,galarian_form,gigantamax,image_path,image_exists
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/shiny/1-gen4_hs-frame2.png,False
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/shiny/1-gen3_e-frame2.png,False
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/shiny/1-gen3_fl.png,False
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/shiny/1-gen5.png,False
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/shiny/1-gen4_hs.png,False
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/shiny/1-gen4_dp.png,False
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/shiny/1-gen3_e.png,False
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/shiny/1-gen4_dp-frame2.png,False
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/normal/1-gen4_hs-frame2.png,False
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/normal/1-gen3_e-frame2.png,False
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/normal/1-gen3_fl.png,False
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/normal/1-gen5.png,False
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/normal/1-gen4_hs.png,False
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/normal/1-gen4_dp.png,False
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/normal/1-gen3_e.png,False
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/normal/1-gen4_dp-frame2.png,False
1,Ivysaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0001-Ivysaur-2/front/shiny/2-gen4_hs-frame2.png,False
1,Ivysaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0001-Ivysaur-2/front/shiny/2-gen3_fl.png,False
1,Ivysaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0001-Ivysaur-2/front/shiny/2-gen3_e.png,False
1,Ivysaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0001-Ivysaur-2/front/shiny/2-gen3_e-frame2.png,False
1,Ivysaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0001-Ivysaur-2/front/shiny/2-gen5.png,False
1,Ivysaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0001-Ivysaur-2/front/shiny/2-gen4_dp.png,False
1,Ivysaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0001-Ivysaur-2/front/shiny/2-gen4_hs.png,False
1,Ivysaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0001-Ivysaur-2/front/shiny/2-gen4_dp-frame2.png,False
1,Ivysaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0001-Ivysaur-2/front/normal/2-gen4_hs-frame2.png,False
1,Ivysaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0001-Ivysaur-2/front/normal/2-gen3_fl.png,False
1,Ivysaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0001-Ivysaur-2/front/normal/2-gen3_e.png,False
1,Ivysaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0001-Ivysaur-2/front/normal/2-gen3_e-frame2.png,False
1,Ivysaur,Grass,Blue,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0001-Ivysaur-2/front/normal/2-gen5.png,False
1,Ivysaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0001-Ivysaur-2/front/normal/2-gen4_dp.png,False
1,Ivysaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0001-Ivysaur-2/front/normal/2-gen4_hs.png,False
1,Ivysaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0001-Ivysaur-2/front/normal/2-gen4_dp-frame2.png,False
2,Venusaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0002-Venusaur-3/front/shiny/3-gen4_dp-frame2.png,False
2,Venusaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0002-Venusaur-3/front/shiny/3-gen4_hs.png,False
2,Venusaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0002-Venusaur-3/front/shiny/3-gen4_dp.png,False
2,Venusaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0002-Venusaur-3/front/shiny/3-gen3_e-frame2.png,False
2,Venusaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0002-Venusaur-3/front/shiny/3-gen3_fl.png,False
2,Venusaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0002-Venusaur-3/front/shiny/3-gen5.png,False
2,Venusaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0002-Venusaur-3/front/shiny/3-gen4_hs-frame2.png,False
2,Venusaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0002-Venusaur-3/front/shiny/3-gen3_e.png,False
2,Venusaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0002-Venusaur-3/front/normal/3-gen4_dp-frame2.png,False
2,Venusaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0002-Venusaur-3/front/normal/3-gen4_hs.png,False
2,Venusaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0002-Venusaur-3/front/normal/3-gen4_dp.png,False
2,Venusaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0002-Venusaur-3/front/normal/3-gen3_e-frame2.png,False
2,Venusaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0002-Venusaur-3/front/normal/3-gen3_fl.png,False
2,Venusaur,Grass,Blue,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0002-Venusaur-3/front/normal/3-gen5.png,False
2,Venusaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0002-Venusaur-3/front/normal/3-gen4_hs-frame2.png,False
2,Venusaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0002-Venusaur-3/front/normal/3-gen3_e.png,False
5,Charmander,Fire,Yellow & Green,Upright,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0005-Charmander-4/front/shiny/4-gen3_e-frame2.png,False
5,Charmander,Fire,Orange & Brown,Upright,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0005-Charmander-4/front/shiny/4-gen3_fl.png,False
5,Charmander,Fire,Yellow & Green,Upright,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0005-Charmander-4/front/shiny/4-gen3_e.png,False
5,Charmander,Fire,Orange & Brown,Upright,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0005-Charmander-4/front/shiny/4-gen5.png,False
5,Charmander,Fire,Orange & Brown,Upright,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0005-Charmander-4/front/normal/4-gen3_e-frame2.png,False
5,Charmander,Fire,Orange & Brown,Upright,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0005-Charmander-4/front/normal/4-gen4_hs-frame2.png,False
